time,state,V,label
1731796204,TooDark,9184,
1731796564,TooDark,9184,
1731796924,TooDark,9184,
1731797284,TooDark,9184,
1731797644,TooDark,9184,
1731798003,TooDark,9184,
1731798364,TooDark,9184,
1731798724,TooDark,9184,
1731799084,TooDark,9184,
1731799444,TooDark,9184,
1731799804,TooDark,9184,
1731800164,TooDark,9184,
1731800524,TooDark,9184,
1731800884,TooDark,9184,
1731801244,TooDark,9184,
1731801604,TooDark,9216,
1731801964,TooDark,9248,
1731802324,TooDark,9248,
1731802684,TooDark,9248,
1731803044,TooDark,9248,
1731803404,TooDark,9248,
1731803763,TooDark,9248,
1731804124,TooDark,9248,
1731804484,TooDark,9248,
1731804844,TooDark,9248,
1731805204,TooDark,9248,
1731805564,TooDark,9248,
1731805924,TooDark,9248,
1731806284,TooDark,9248,
1731806644,TooDark,9248,
1731807004,TooDark,9248,
1731807364,TooDark,9248,
1731807724,TooDark,9248,
1731808084,TooDark,9248,
1731808444,TooDark,9248,
1731808804,TooDark,9248,
1731809164,TooDark,9248,
1731809524,TooDark,9248,
1731809884,TooDark,9248,
1731810244,TooDark,9248,
1731810604,TooDark,9248,
1731810964,TooDark,9248,
1731811324,TooDark,9248,
1731811684,TooDark,9248,
1731812044,TooDark,9248,
1731812404,TooDark,9248,
1731812764,TooDark,9248,
1731813124,TooDark,9248,
1731813484,TooDark,9248,
1731813844,TooDark,9248,
1731814204,TooDark,9248,
1731814564,TooDark,9248,
1731814924,TooDark,9248,
1731815284,TooDark,9248,
1731815644,TooDark,9248,
1731816004,TooDark,9248,
1731816364,TooDark,9248,
1731816724,TooDark,9248,
1731817084,TooDark,9248,
1731817444,TooDark,9248,
1731817804,TooDark,9248,
1731818164,TooDark,9248,
1731818524,TooDark,9248,
1731818884,TooDark,9248,
1731819244,TooDark,9248,
1731819604,TooDark,9248,
1731819964,TooDark,9248,
1731820324,TooDark,9248,
1731820684,TooDark,9248,
1731821044,TooDark,9248,
1731821404,TooDark,9248,
1731821764,TooDark,9248,
1731822124,TooDark,9248,
1731822484,TooDark,9248,
1731822844,TooDark,9248,
1731823204,TooDark,9248,
1731823564,TooDark,9248,
1731823924,TooDark,9248,
1731824284,TooDark,9248,
1731824644,TooDark,9248,
1731825004,TooDark,9248,
1731825364,TooDark,9248,
1731825724,TooDark,9248,
1731826084,TooDark,9248,
1731826444,TooDark,9248,
1731826804,TooDark,9248,
1731827164,TooDark,9248,
1731827524,TooDark,9248,
1731827884,TooDark,9248,
1731828244,TooDark,9248,
1731828604,TooDark,9248,
1731828964,TooDark,9248,
1731829324,TooDark,9248,
1731829684,TooDark,9248,
1731830044,TooDark,9248,
1731830404,TooDark,9248,
1731830764,TooDark,9248,
1731831124,TooDark,9248,
1731831484,TooDark,9248,
1731831844,TooDark,9248,
1731832204,TooDark,9248,
1731832564,TooDark,9248,
1731832924,TooDark,9248,
1731833284,TooDark,9248,
1731833644,TooDark,9248,
1731834004,TooDark,9248,
1731834364,TooDark,9248,
1731834724,TooDark,9248,
1731835084,TooDark,9248,
1731835444,TooDark,9248,
1731835804,TooDark,9248,
1731836164,TooDark,9248,
